Customer_ID,Gender,Age,Product_Category,Payment_Method,Purchase_Frequency,Purchase_Amount,Location
CUST1000,Male,60,Electronics,Cash,Very Often,8881.8,Delhi
CUST1001,Female,51,Clothing,UPI,Very Often,6064.3,Delhi
CUST1002,Female,59,Fitness,UPI,Rarely,6179.39,Chennai
CUST1003,Female,50,Electronics,Debit Card,Very Often,5815.93,Delhi
CUST1004,Male,42,Groceries,UPI,Sometimes,3368.03,Kolkata
CUST1005,Female,26,Books,Net Banking,Sometimes,7707.15,Chennai
CUST1006,Male,31,Electronics,Debit Card,Very Often,8235.99,Mumbai
CUST1007,Male,48,Books,Cash,Very Often,5088.39,Bangalore
CUST1008,Female,36,Clothing,Cash,Rarely,6606.62,Kolkata
CUST1009,Female,49,Fitness,Credit Card,Sometimes,1361.42,Hyderabad
CUST1010,Female,22,Electronics,UPI,Very Often,6026.63,Chennai
CUST1011,Female,56,Beauty,Cash,Very Often,3146.69,Mumbai
CUST1012,Male,57,Fitness,Cash,Very Often,158.84,Bangalore
CUST1013,Male,31,Clothing,Cash,Often,1233.75,Chennai
CUST1014,Female,65,Groceries,Net Banking,Often,5143.18,Delhi
CUST1015,Female,19,Clothing,Net Banking,Often,2979.21,Bangalore
CUST1016,Male,63,Groceries,Debit Card,Sometimes,3211.87,Mumbai
CUST1017,Male,65,Clothing,Cash,Very Often,2824.66,Kolkata
CUST1018,Male,21,Groceries,UPI,Often,3211.54,Hyderabad
CUST1019,Male,64,Clothing,Debit Card,Rarely,2564.13,Kolkata
CUST1020,Female,47,Electronics,Cash,Sometimes,2813.04,Chennai
CUST1021,Male,54,Fitness,UPI,Rarely,7744.17,Bangalore
CUST1022,Male,23,Clothing,Net Banking,Rarely,2366.34,Chennai
CUST1023,Female,63,Books,Credit Card,Very Often,2642.3,Bangalore
CUST1024,Male,18,Fitness,Credit Card,Often,5526.62,Hyderabad
CUST1025,Male,23,Books,Debit Card,Often,3352.44,Delhi
CUST1026,Female,40,Books,UPI,Rarely,9055.85,Bangalore
CUST1027,Female,55,Clothing,Net Banking,Sometimes,7903.7,Hyderabad
CUST1028,Male,48,Groceries,Cash,Very Often,3501.13,Hyderabad
CUST1029,Male,29,Fitness,UPI,Very Often,5710.06,Chennai
CUST1030,Female,41,Beauty,UPI,Often,8345.71,Mumbai
CUST1031,Male,56,Beauty,Credit Card,Often,8234.54,Delhi
CUST1032,Male,53,Fitness,Net Banking,Very Often,5178.25,Chennai
CUST1033,Male,65,Electronics,Credit Card,Rarely,8738.88,Delhi
CUST1034,Male,40,Groceries,Credit Card,Very Often,5115.84,Delhi
CUST1035,Male,28,Electronics,Cash,Often,2932.73,Bangalore
CUST1036,Male,41,Electronics,Net Banking,Rarely,5639.58,Kolkata
CUST1037,Male,50,Beauty,Cash,Very Often,3019.43,Kolkata
CUST1038,Male,58,Fitness,UPI,Rarely,7303.58,Bangalore
CUST1039,Male,41,Clothing,Cash,Very Often,1678.52,Bangalore
CUST1040,Male,25,Books,UPI,Very Often,2896.54,Mumbai
CUST1041,Female,64,Beauty,UPI,Sometimes,1162.54,Hyderabad
CUST1042,Male,30,Clothing,UPI,Rarely,1131.35,Delhi
CUST1043,Female,33,Books,Net Banking,Rarely,8759.84,Bangalore
CUST1044,Female,26,Beauty,UPI,Very Often,4604.66,Kolkata
CUST1045,Male,29,Books,Net Banking,Very Often,9471.46,Mumbai
CUST1046,Male,19,Electronics,Net Banking,Very Often,5483.83,Chennai
CUST1047,Female,31,Electronics,Net Banking,Sometimes,3780.81,Mumbai
CUST1048,Male,19,Beauty,Debit Card,Very Often,6288.15,Mumbai
CUST1049,Female,59,Books,Credit Card,Rarely,2924.46,Kolkata
CUST1050,Male,34,Books,UPI,Often,508.71,Bangalore
CUST1051,Male,42,Beauty,Debit Card,Sometimes,1976.04,Chennai
CUST1052,Female,27,Clothing,UPI,Rarely,2054.95,Chennai
